score,scoreAlt,standard,stdText,charge240,cylinders,displ,drive,engId,eng_dscr,feScore,fuelType,hlv,hpv,lv2,lv4,make,model,pv2,pv4,trany,VClass,year,trans_dscr,atvType,startStop,Barrels,City,Co2,comb,Highway,Charger,ghgScoreavg
3.0,-1.0,U2,California LEV-II ULEV,0.0,4.0,1.6,Front-Wheel Drive,127,SIDI,6,Premium,0,0,0,15,Nissan,Sentra Nismo,0,96,Manual 6-spd,Midsize Cars,2018,,,N,11.018888888888888,25,329,27,31,T,6.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,1.6,Front-Wheel Drive,126,SIDI,6,Premium,0,0,0,15,Nissan,Sentra,0,96,Manual 6-spd,Midsize Cars,2018,,,N,10.625357142857142,26,317,28,32,T,6.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,4.0,1.8,Front-Wheel Drive,9,,7,Regular,0,0,0,15,Nissan,Sentra,0,96,Automatic (variable gear ratios),Midsize Cars,2018,,,N,9.2971875,29,278,32,37,0,7.0
1.0,-1.0,T3B160,Federal Tier 3 Bin 160,0.0,4.0,1.8,Front-Wheel Drive,6,,7,Regular,0,0,0,15,Nissan,Sentra,0,96,Manual 6-spd,Midsize Cars,2018,,,N,9.917,27,296,30,35,0,7.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,6.0,3.0,4-Wheel Drive,302,SIDI,5,Premium,0,0,0,13,Mercedes-Benz,E400 4matic,0,98,Automatic 9-spd,Midsize Cars,2018,,,Y,12.935217391304349,20,395,23,27,T,5.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.0,Front-Wheel Drive,45,SIDI,9,Regular,0,0,0,13,Kia,Optima Hybrid,0,105,Automatic (AM6),Midsize Cars,2018,,Hybrid,Y,7.083571428571429,39,211,42,46,0,9.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.0,Rear-Wheel Drive,76,SIDI & PFI,5,Premium,0,0,0,11,Lexus,IS 300,0,90,Automatic (S8),Compact Cars,2018,,,N,11.442692307692308,22,344,26,32,T,5.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,6.0,3.8,All-Wheel Drive,71,,3,Premium,0,0,9,0,Nissan,GT-R,79,0,Automatic (AM6),Subcompact Cars,2018,,,N,16.528333333333336,16,483,18,22,T,3.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,8.0,5.0,Rear-Wheel Drive,235,,3,Regular,0,0,11,0,Ford,Mustang Convertible,80,0,Automatic (S10),Subcompact Cars,2018,,,Y,16.528333333333336,15,489,18,24,0,3.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,8.0,5.0,Rear-Wheel Drive,225,,3,Regular,0,0,13,0,Ford,Mustang,83,0,Automatic (S10),Subcompact Cars,2018,,,Y,15.65842105263158,16,467,19,25,0,3.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,223,SIDI,5,Regular,0,0,14,0,Ford,Mustang Performance Package,83,0,Automatic (S10),Subcompact Cars,2018,,,Y,12.935217391304349,20,383,23,29,T,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,212,SIDI,5,Regular,0,0,13,0,Ford,Mustang,83,0,Automatic (S10),Subcompact Cars,2018,,,Y,11.9004,21,352,25,32,T,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,196,SIDI,5,Regular,0,0,11,0,Ford,Mustang Convertible,80,0,Automatic (S10),Subcompact Cars,2018,,,Y,12.935217391304349,20,383,23,29,T,5.0
3.0,-1.0,U2,California LEV-II ULEV,0.0,8.0,5.2,Rear-Wheel Drive,90,,2,Premium,0,0,12,0,Ford,Shelby GT350 Mustang,82,0,Manual 6-spd,Subcompact Cars,2018,,,N,18.594375,14,548,16,21,0,2.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,8.0,5.0,Rear-Wheel Drive,84,,3,Regular,0,0,13,0,Ford,Mustang,83,0,Manual 6-spd,Subcompact Cars,2018,,,N,16.528333333333336,15,482,18,25,0,3.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,4.0,2.3,Rear-Wheel Drive,36,SIDI,5,Regular,0,0,11,0,Ford,Mustang Convertible,80,0,Manual 6-spd,Subcompact Cars,2018,,,N,12.935217391304349,20,382,23,28,T,5.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,4.0,2.3,Rear-Wheel Drive,35,SIDI,5,Regular,0,0,14,0,Ford,Mustang Performance Package,83,0,Manual 6-spd,Subcompact Cars,2018,,,N,12.935217391304349,20,382,23,28,T,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,34,SIDI,5,Regular,0,0,13,0,Ford,Mustang,83,0,Manual 6-spd,Subcompact Cars,2018,,,N,11.9004,21,356,25,31,T,5.0
10.0,-1.0,T3B0,Federal Tier 3 Bin 0,4.0,,,Front-Wheel Drive,39,,10,Electricity,0,0,0,23,Hyundai,Ioniq Electric,0,96,Automatic (A1),Midsize Cars,2018,,EV,N,0.06,150,-1,136,122,0,10.0
10.0,-1.0,ZEV,California ZEV,5.5,,,Front-Wheel Drive,183,,10,Electricity,14,91,0,0,Ford,Focus Electric,0,0,Automatic (A1),Compact Cars,2018,,EV,N,0.0744,118,-1,107,96,0,10.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,6.0,3.5,Part-time 4-Wheel Drive,115,SIDI,3,Regular,0,0,0,0,Lincoln,Navigator 4WD,0,0,Automatic (S10),Standard Sport Utility Vehicle 4WD,2018,,,Y,16.528333333333336,16,498,18,21,T,3.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,6.0,3.5,Part-time 4-Wheel Drive,110,SIDI,3,Regular,0,0,0,0,Ford,Expedition MAX 4WD,0,0,Automatic (S10),Standard Sport Utility Vehicle 4WD,2018,,,Y,16.528333333333336,16,493,18,21,T,3.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,6.0,3.5,Part-time 4-Wheel Drive,109,SIDI,3,Regular,0,0,0,0,Ford,Expedition 4WD,0,0,Automatic (S10),Standard Sport Utility Vehicle 4WD,2018,,,Y,15.65842105263158,17,465,19,22,T,3.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,6.0,3.5,Rear-Wheel Drive,117,SIDI,3,Regular,0,0,0,0,Lincoln,Navigator 2WD,0,0,Automatic (S10),Standard Sport Utility Vehicle 2WD,2018,,,Y,15.65842105263158,16,468,19,23,T,3.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,6.0,3.5,Rear-Wheel Drive,108,SIDI,3,Regular,0,0,0,0,Ford,Expedition MAX 2WD,0,0,Automatic (S10),Standard Sport Utility Vehicle 2WD,2018,,,Y,15.65842105263158,17,463,19,23,T,3.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,6.0,3.5,Rear-Wheel Drive,107,SIDI,4,Regular,0,0,0,0,Ford,Expedition 2WD,0,0,Automatic (S10),Standard Sport Utility Vehicle 2WD,2018,,,Y,14.8755,17,440,20,24,T,4.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,4.0,2.0,All-Wheel Drive,72,SIDI,5,Premium,0,0,0,0,Land Rover,Range Rover Evoque (286 Hp),0,0,Automatic (S9),Small Sport Utility Vehicle 4WD,2018,,,Y,12.39625,21,376,24,29,T,5.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,4.0,2.0,All-Wheel Drive,71,SIDI,5,Premium,0,0,0,0,Land Rover,Range Rover Evoque Convertible,0,0,Automatic (S9),Small Sport Utility Vehicle 4WD,2018,,,Y,12.39625,21,370,24,29,T,5.0
3.0,-1.0,U2,California LEV-II ULEV,0.0,4.0,2.0,All-Wheel Drive,42,SIDI,5,Regular,0,0,0,0,Hyundai,Tucson AWD,0,0,Automatic (S6),Small Sport Utility Vehicle 4WD,2018,,,N,12.935217391304349,21,387,23,26,0,5.0
3.0,-1.0,U2,California LEV-II ULEV,0.0,4.0,1.6,All-Wheel Drive,40,SIDI,5,Regular,0,0,0,0,Hyundai,Tucson AWD,0,0,Automatic (AM7),Small Sport Utility Vehicle 4WD,2018,,,N,11.9004,24,354,25,28,T,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,1.5,All-Wheel Drive,30,SIDI,6,Regular,0,0,0,0,Honda,CR-V AWD,0,0,Automatic (variable gear ratios),Small Sport Utility Vehicle 4WD,2018,,,N,10.25896551724138,27,302,29,33,T,6.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,4.0,2.4,All-Wheel Drive,28,SIDI,6,Regular,0,0,0,0,Honda,CR-V AWD,0,0,Automatic (variable gear ratios),Small Sport Utility Vehicle 4WD,2018,,,N,11.018888888888888,25,326,27,31,0,6.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.0,All-Wheel Drive,195,SIDI,5,Regular,0,0,0,0,Ford,EcoSport AWD,0,0,Automatic (S6),Small Sport Utility Vehicle 4WD,2018,,,Y,11.9004,23,352,25,29,0,5.0
